CustomerID,Count,Gender,Age,Senior Citizen,Married,Dependents,Number of Dependents,Country,State,City,Zip Code,Lat Long,Latitude,Longitude,Quarter,Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Satisfaction Score,Satisfaction Score Label,Customer Status,Churn Label,Churn Value,Churn Score,Churn Score Category,CLTV,CLTV Category,Churn Category,Churn Reason
1,1,Female,64,No,No,No,3,United States,California,San Francisco,92082,"33.0, -117.0",33.0,-117.0,Q3,Yes,3,37,Offer E,No,36,Yes,Fiber Optic,669,No,Yes,Yes,Yes,No,Yes,No,Yes,Two Year,Yes,Mailed Check,140.87,1369.38,7.6,4.04,10.74,3,Neutral,Joined,Yes,0,28,1-10,4942,2000-2500,Attitude,Competitor offered higher download speeds
2,1,Male,43,No,Yes,No,1,United States,California,San Diego,92072,"34.1, -118.1",34.01,-118.01,Q3,Yes,0,47,Offer B,No,42,No,DSL,201,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,No,Credit Card,87.97,3264.1,7.6,8.0,45.9,5,Satisfied,Joined,No,0,95,11-20,2061,2500-3000,Attitude,Service dissatisfaction
3,1,Male,63,No,No,No,3,United States,California,San Francisco,92051,"35.2, -119.2",35.02,-119.02,Q3,No,1,15,None,No,20,Yes,Fiber Optic,75,No,Yes,No,Yes,Yes,No,No,No,Two Year,No,Bank Withdrawal,108.04,5890.85,17.05,8.57,43.36,4,Neutral,Stayed,No,0,75,21-30,2257,3000-3500,Attitude,Competitor offered more data
4,1,Female,57,No,No,Yes,1,United States,California,San Francisco,92092,"36.3, -120.3",36.03,-120.03,Q3,Yes,0,25,Offer C,No,44,Yes,Fiber Optic,226,Yes,Yes,No,Yes,Yes,No,Yes,No,Month-to-Month,Yes,Bank Withdrawal,133.58,2315.36,4.01,24.37,13.36,1,Very Satisfied,Joined,Yes,0,25,31-40,3853,3500-4000,Competitor,Competitor offered higher download speeds
5,1,Female,71,Yes,No,Yes,0,United States,California,San Francisco,92006,"37.4, -121.4",37.04,-121.04,Q3,Yes,4,7,Offer A,No,2,Yes,Fiber Optic,159,Yes,Yes,No,No,No,Yes,No,Yes,Month-to-Month,No,Mailed Check,113.75,773.85,12.9,29.23,34.72,1,Very Satisfied,Joined,Yes,0,22,41-50,2560,4000-4500,Other,Attitude of support person
6,1,Male,51,No,No,Yes,4,United States,California,San Francisco,92086,"33.5, -117.5",33.05,-117.05,Q3,Yes,1,67,Offer C,No,28,No,DSL,602,Yes,No,No,No,No,No,No,No,Two Year,Yes,Bank Withdrawal,132.03,6857.59,10.72,17.48,33.58,1,Very Satisfied,Stayed,No,0,84,51-60,4770,4500-5000,Price,Competitor made better offer
7,1,Female,77,No,Yes,Yes,3,United States,California,Los Angeles,92095,"34.6, -118.6",34.06,-118.06,Q3,No,1,56,Offer D,No,14,No,No,840,No,Yes,No,Yes,No,No,Yes,Yes,Two Year,No,Credit Card,87.6,444.2,13.32,10.71,21.61,3,Very Unsatisfied,Churned,No,1,60,61-70,2026,5000-5500,Attitude,Price too high
8,1,Male,40,No,No,Yes,0,United States,California,Los Angeles,92036,"35.7, -119.7",35.07,-119.07,Q3,Yes,0,7,Offer B,Yes,2,Yes,Fiber Optic,256,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Month-to-Month,Yes,Mailed Check,138.8,7938.18,1.46,16.3,18.05,1,Neutral,Joined,Yes,0,66,71-80,6807,5500-6000,Other,Competitor made better offer
9,1,Male,45,Yes,No,Yes,2,United States,California,San Diego,92070,"36.8, -120.8",36.08,-120.08,Q3,Yes,1,31,None,No,17,No,Cable,112,No,Yes,No,Yes,No,No,Yes,No,Month-to-Month,Yes,Mailed Check,132.8,6177.0,7.94,12.22,9.17,4,Very Unsatisfied,Joined,No,1,70,81-90,3847,6000-6500,Other,Moved
10,1,Female,39,No,Yes,No,2,United States,California,Los Angeles,92019,"37.9, -121.9",37.09,-121.09,Q3,Yes,1,34,None,No,44,No,Fiber Optic,450,Yes,No,No,No,Yes,Yes,Yes,No,Two Year,Yes,Mailed Check,100.87,7361.41,14.48,0.9,25.15,5,Very Unsatisfied,Stayed,No,0,89,91-100,3804,6500-7000,Other,Price too high
