CustomerID,Count,Gender,Age,Senior Citizen,Married,Dependents,Number of Dependents
1,1,Female,64,No,No,No,3
2,1,Male,43,No,Yes,No,1
3,1,Male,63,No,No,No,3
4,1,Female,57,No,No,Yes,1
5,1,Female,71,Yes,No,Yes,0
6,1,Male,51,No,No,Yes,4
7,1,Female,77,No,Yes,Yes,3
8,1,Male,40,No,No,Yes,0
9,1,Male,45,Yes,No,Yes,2
10,1,Female,39,No,Yes,No,2
11,1,Female,79,Yes,Yes,Yes,3
12,1,Female,59,No,Yes,No,3
13,1,Male,65,No,Yes,Yes,4
14,1,Female,52,No,No,Yes,1
15,1,Female,52,No,Yes,Yes,1
16,1,Female,59,No,No,No,1
17,1,Male,65,No,No,Yes,4
18,1,Male,42,No,Yes,Yes,1
19,1,Male,63,No,Yes,No,3
20,1,Female,36,No,Yes,Yes,3
21,1,Female,26,No,No,No,4
22,1,Female,24,No,No,Yes,1
23,1,Male,28,No,Yes,No,2
24,1,Male,24,No,No,Yes,2
25,1,Female,55,No,Yes,No,4
26,1,Female,77,No,No,Yes,2
27,1,Male,49,No,No,No,3
28,1,Female,67,No,No,Yes,4
29,1,Male,74,No,Yes,No,2
30,1,Male,48,No,Yes,No,2
31,1,Female,21,No,Yes,No,0
32,1,Male,47,No,No,Yes,4
33,1,Male,71,No,No,Yes,2
34,1,Female,41,No,No,No,2
35,1,Female,75,No,No,No,2
36,1,Male,69,Yes,Yes,Yes,3
37,1,Female,69,No,No,Yes,0
38,1,Male,38,No,No,Yes,4
39,1,Female,19,No,No,Yes,1
40,1,Male,32,No,No,No,4
41,1,Female,28,No,Yes,Yes,0
42,1,Male,25,Yes,Yes,No,0
43,1,Female,32,No,No,Yes,0
44,1,Male,41,Yes,Yes,No,3
45,1,Male,55,No,No,No,2
46,1,Female,19,No,Yes,Yes,1
47,1,Male,23,No,Yes,Yes,2
48,1,Female,52,No,No,Yes,4
49,1,Female,69,No,No,Yes,0
50,1,Male,68,No,Yes,Yes,2
51,1,Female,71,Yes,Yes,No,0
52,1,Male,24,No,No,Yes,0
53,1,Male,21,No,Yes,Yes,1
54,1,Female,29,No,Yes,Yes,4
55,1,Female,65,No,Yes,Yes,0
56,1,Female,76,No,No,No,2
57,1,Female,74,No,Yes,Yes,2
58,1,Male,66,No,No,No,3
59,1,Female,25,No,No,No,4
60,1,Female,47,Yes,Yes,Yes,4
61,1,Female,36,No,Yes,No,1
62,1,Male,57,No,Yes,No,1
63,1,Female,69,No,No,No,4
64,1,Female,28,No,Yes,Yes,3
65,1,Male,19,No,No,No,4
66,1,Male,62,No,No,Yes,4
67,1,Male,59,No,No,Yes,0
68,1,Male,56,No,Yes,No,2
69,1,Female,31,No,No,Yes,0
70,1,Male,22,Yes,No,Yes,3
71,1,Male,26,No,Yes,Yes,4
72,1,Female,64,Yes,Yes,Yes,0
73,1,Male,60,No,No,Yes,4
74,1,Female,27,No,Yes,Yes,0
75,1,Male,75,No,Yes,No,0
76,1,Female,48,No,No,Yes,3
77,1,Male,64,No,Yes,No,4
78,1,Male,29,No,Yes,Yes,0
79,1,Male,23,No,No,Yes,3
80,1,Female,79,No,No,Yes,3
81,1,Female,47,Yes,No,No,3
82,1,Male,75,No,Yes,Yes,1
83,1,Female,46,Yes,Yes,No,0
84,1,Male,27,No,No,No,0
85,1,Female,53,No,Yes,No,3
86,1,Female,51,No,No,Yes,0
87,1,Male,26,No,Yes,No,2
88,1,Female,42,No,Yes,No,4
89,1,Male,27,No,No,Yes,3
90,1,Female,69,No,No,No,1
91,1,Female,35,Yes,No,Yes,0
92,1,Male,47,Yes,Yes,No,4
93,1,Female,32,Yes,Yes,Yes,0
94,1,Male,42,No,No,Yes,1
95,1,Female,33,No,Yes,No,1
96,1,Male,47,No,Yes,No,1
97,1,Male,52,No,Yes,No,3
98,1,Male,70,No,No,Yes,4
99,1,Female,32,No,Yes,No,2
100,1,Male,25,No,No,Yes,2
101,1,Male,49,No,No,Yes,4
102,1,Male,49,No,No,No,0
103,1,Male,57,No,No,No,3
104,1,Male,50,Yes,Yes,Yes,0
105,1,Female,49,Yes,Yes,Yes,4
106,1,Female,66,No,Yes,No,1
107,1,Female,70,Yes,No,Yes,1
108,1,Male,52,No,No,Yes,2
109,1,Female,55,Yes,Yes,Yes,3
110,1,Male,73,No,No,No,3
111,1,Male,53,No,No,Yes,0
112,1,Male,64,No,Yes,No,3
113,1,Male,54,No,Yes,Yes,1
114,1,Male,59,No,Yes,No,1
115,1,Male,22,No,Yes,Yes,4
116,1,Female,29,No,Yes,Yes,3
117,1,Female,63,No,Yes,No,0
118,1,Male,26,No,No,No,1
119,1,Female,45,No,Yes,Yes,1
120,1,Male,59,No,No,Yes,4
121,1,Male,42,Yes,No,Yes,4
122,1,Female,57,Yes,No,Yes,0
123,1,Male,71,No,Yes,Yes,2
124,1,Female,55,Yes,Yes,Yes,2
125,1,Male,39,Yes,Yes,Yes,2
126,1,Male,37,No,No,No,3
127,1,Male,56,No,Yes,No,2
128,1,Female,21,Yes,Yes,No,1
129,1,Male,76,No,No,Yes,1
130,1,Female,21,No,Yes,Yes,1
131,1,Male,34,No,Yes,Yes,0
132,1,Male,29,No,Yes,No,1
133,1,Male,23,No,No,No,3
134,1,Female,58,No,Yes,No,1
135,1,Female,19,No,No,Yes,0
136,1,Female,22,No,No,No,2
137,1,Female,42,No,No,No,3
138,1,Male,78,No,Yes,Yes,2
139,1,Male,66,No,No,Yes,1
140,1,Female,60,No,Yes,No,1
141,1,Female,23,No,No,Yes,3
142,1,Male,51,No,No,Yes,0
143,1,Male,33,No,Yes,Yes,2
144,1,Male,23,No,No,No,1
145,1,Male,79,Yes,No,Yes,0
146,1,Female,23,No,Yes,No,3
147,1,Female,79,Yes,Yes,No,0
148,1,Female,48,No,No,No,1
149,1,Male,34,No,Yes,Yes,4
150,1,Male,28,No,Yes,No,2
151,1,Male,35,No,Yes,Yes,0
152,1,Female,41,No,Yes,No,4
153,1,Female,53,No,No,No,4
154,1,Male,57,No,No,Yes,1
155,1,Female,67,No,Yes,Yes,1
156,1,Male,44,No,No,Yes,1
157,1,Male,42,Yes,No,Yes,1
158,1,Male,64,No,Yes,No,4
159,1,Male,22,No,No,No,2
160,1,Female,45,Yes,No,Yes,0
161,1,Female,48,No,Yes,No,1
162,1,Female,40,No,No,No,4
163,1,Female,69,No,Yes,No,4
164,1,Male,47,No,No,No,3
165,1,Male,46,No,Yes,No,0
166,1,Male,31,No,Yes,Yes,2
167,1,Male,64,No,Yes,No,1
168,1,Female,46,No,No,Yes,4
169,1,Female,48,No,No,No,0
170,1,Female,19,No,No,Yes,3
171,1,Male,55,No,No,No,3
172,1,Male,51,No,Yes,Yes,1
173,1,Female,21,No,Yes,No,1
174,1,Female,53,No,No,Yes,4
175,1,Male,53,No,Yes,No,4
176,1,Male,55,No,No,No,4
177,1,Female,58,No,No,No,0
178,1,Female,51,No,Yes,Yes,1
179,1,Male,59,No,Yes,Yes,1
180,1,Female,48,No,Yes,Yes,1
181,1,Male,47,Yes,No,No,1
182,1,Female,22,No,Yes,Yes,3
183,1,Male,26,No,No,Yes,0
184,1,Male,31,Yes,Yes,Yes,1
185,1,Male,79,Yes,Yes,No,4
186,1,Female,74,Yes,Yes,Yes,4
187,1,Male,50,No,Yes,Yes,3
188,1,Female,27,Yes,Yes,Yes,0
189,1,Male,24,Yes,No,No,4
190,1,Male,72,No,Yes,No,2
191,1,Female,79,No,Yes,No,2
192,1,Male,74,Yes,Yes,Yes,2
193,1,Female,42,No,Yes,No,4
194,1,Female,60,No,No,No,3
195,1,Female,75,No,No,No,0
196,1,Female,40,No,No,Yes,2
197,1,Male,24,No,Yes,Yes,2
198,1,Female,51,No,No,Yes,0
199,1,Female,32,No,No,No,3
200,1,Male,24,No,No,Yes,4
201,1,Male,23,No,Yes,Yes,0
202,1,Male,39,No,Yes,Yes,0
203,1,Female,60,Yes,Yes,No,1
204,1,Male,64,No,No,Yes,0
205,1,Female,34,No,No,Yes,2
206,1,Male,53,Yes,Yes,Yes,0
207,1,Female,38,No,No,Yes,1
208,1,Female,67,No,Yes,No,2
209,1,Male,63,No,No,Yes,3
210,1,Female,47,No,No,Yes,3
211,1,Male,31,No,No,Yes,3
212,1,Male,24,No,Yes,No,2
213,1,Female,51,No,No,No,4
214,1,Female,54,No,Yes,No,2
215,1,Male,35,Yes,Yes,Yes,4
216,1,Male,51,No,No,No,4
217,1,Male,55,No,No,No,4
218,1,Female,58,No,No,No,3
219,1,Female,53,No,No,No,4
220,1,Male,58,No,Yes,No,2
221,1,Female,61,No,Yes,No,1
222,1,Male,32,No,No,No,3
223,1,Female,60,Yes,Yes,No,1
224,1,Male,79,No,Yes,No,3
225,1,Female,41,Yes,Yes,Yes,2
226,1,Female,39,No,No,No,3
227,1,Female,20,Yes,No,No,2
228,1,Female,23,No,No,No,1
229,1,Female,23,No,No,No,4
230,1,Male,55,Yes,No,No,1
231,1,Female,34,Yes,No,Yes,3
232,1,Male,24,No,No,Yes,1
233,1,Male,30,Yes,Yes,Yes,2
234,1,Male,61,No,No,Yes,0
235,1,Male,77,No,Yes,No,1
236,1,Female,75,No,Yes,Yes,1
237,1,Male,58,No,No,Yes,1
238,1,Male,62,No,Yes,Yes,4
239,1,Male,66,Yes,No,No,2
240,1,Female,44,Yes,Yes,Yes,0
241,1,Female,57,No,No,Yes,3
242,1,Female,62,No,No,No,4
243,1,Male,32,No,No,No,3
244,1,Female,22,No,No,No,0
245,1,Male,38,No,Yes,No,0
246,1,Female,79,No,No,Yes,2
247,1,Male,50,No,Yes,No,0
248,1,Female,29,No,No,No,0
249,1,Female,56,No,No,No,0
250,1,Male,60,No,No,No,4
251,1,Female,19,No,Yes,No,0
252,1,Female,42,No,No,Yes,0
253,1,Female,78,No,Yes,Yes,2
254,1,Male,26,Yes,Yes,Yes,4
255,1,Female,48,No,No,No,4
256,1,Male,42,No,No,Yes,0
257,1,Female,69,No,Yes,No,3
258,1,Female,41,Yes,No,Yes,4
259,1,Female,28,No,Yes,Yes,3
260,1,Male,31,No,Yes,Yes,3
261,1,Female,64,No,Yes,No,2
262,1,Male,47,No,No,Yes,4
263,1,Female,48,Yes,No,No,2
264,1,Female,54,No,Yes,No,0
265,1,Male,28,No,Yes,Yes,0
266,1,Male,23,No,No,No,4
267,1,Male,63,No,Yes,No,3
268,1,Male,79,No,No,Yes,1
269,1,Male,57,No,No,Yes,4
270,1,Female,26,No,Yes,No,3
271,1,Female,30,No,No,Yes,3
272,1,Male,39,No,Yes,No,3
273,1,Male,76,No,No,No,3
274,1,Female,43,No,Yes,No,2
275,1,Female,75,No,No,No,2
276,1,Male,35,No,Yes,No,4
277,1,Male,26,No,Yes,No,2
278,1,Male,40,No,Yes,Yes,0
279,1,Male,51,No,No,Yes,2
280,1,Male,51,No,No,No,3
281,1,Male,64,No,No,Yes,0
282,1,Female,42,No,Yes,Yes,0
283,1,Female,51,No,No,Yes,3
284,1,Female,60,No,No,Yes,2
285,1,Female,72,No,Yes,No,0
286,1,Female,21,No,No,No,2
287,1,Male,48,No,Yes,No,3
288,1,Male,74,No,No,Yes,0
289,1,Female,72,No,No,No,4
290,1,Female,78,Yes,No,Yes,2
291,1,Male,65,No,No,Yes,4
292,1,Male,26,Yes,Yes,Yes,4
293,1,Female,30,Yes,No,No,1
294,1,Female,67,No,Yes,No,1
295,1,Female,31,Yes,No,Yes,2
296,1,Male,61,No,No,No,1
297,1,Female,31,No,No,No,2
298,1,Female,33,No,No,Yes,0
299,1,Female,49,No,Yes,No,0
300,1,Female,28,Yes,Yes,Yes,3
301,1,Male,33,No,Yes,No,0
302,1,Male,42,No,No,Yes,3
303,1,Female,68,No,Yes,Yes,0
304,1,Male,56,No,No,Yes,0
305,1,Male,20,No,No,Yes,2
306,1,Male,37,No,Yes,Yes,2
307,1,Male,33,No,Yes,No,4
308,1,Female,34,No,No,No,1
309,1,Female,22,No,No,No,3
310,1,Female,74,No,Yes,No,1
311,1,Female,52,No,No,Yes,4
312,1,Female,71,No,Yes,Yes,4
313,1,Female,44,No,Yes,Yes,2
314,1,Female,57,Yes,Yes,Yes,4
315,1,Female,71,No,No,Yes,3
316,1,Male,21,No,No,Yes,1
317,1,Male,64,Yes,Yes,Yes,0
318,1,Male,41,No,No,Yes,2
319,1,Male,64,No,Yes,Yes,0
320,1,Male,38,No,No,Yes,1
321,1,Male,35,Yes,No,No,3
322,1,Female,44,No,No,Yes,4
323,1,Male,53,No,No,No,2
324,1,Female,20,No,Yes,Yes,4
325,1,Female,39,Yes,No,Yes,2
326,1,Male,59,No,Yes,Yes,3
327,1,Female,21,No,Yes,Yes,1
328,1,Male,36,No,No,Yes,4
329,1,Male,56,No,No,No,0
330,1,Male,27,No,No,Yes,4
331,1,Male,18,Yes,Yes,Yes,1
332,1,Female,25,No,No,No,1
333,1,Male,21,No,No,Yes,2
334,1,Female,58,No,Yes,No,4
335,1,Male,38,No,No,No,3
336,1,Male,46,Yes,No,Yes,1
337,1,Male,32,No,No,Yes,0
338,1,Male,77,No,Yes,Yes,2
339,1,Male,67,No,Yes,No,3
340,1,Male,61,No,Yes,Yes,3
341,1,Male,56,No,No,No,3
342,1,Female,55,No,No,Yes,1
343,1,Male,57,No,No,Yes,2
344,1,Female,75,No,No,No,0
345,1,Female,23,No,Yes,No,1
346,1,Male,55,Yes,Yes,No,2
347,1,Female,55,No,No,Yes,2
348,1,Male,31,No,Yes,Yes,1
349,1,Male,25,No,No,No,0
350,1,Female,29,No,No,Yes,4
351,1,Female,73,Yes,Yes,Yes,1
352,1,Male,65,No,No,No,4
353,1,Female,25,No,Yes,Yes,0
354,1,Male,76,No,Yes,No,3
355,1,Male,36,No,No,Yes,2
356,1,Male,68,No,Yes,No,1
357,1,Male,48,No,No,No,1
358,1,Female,39,No,Yes,Yes,4
359,1,Male,51,Yes,No,Yes,4
360,1,Female,40,No,No,Yes,3
361,1,Male,44,No,No,No,3
362,1,Female,20,Yes,No,No,4
363,1,Female,69,Yes,Yes,Yes,3
364,1,Female,77,No,No,No,4
365,1,Female,40,No,No,Yes,1
366,1,Male,70,No,Yes,No,3
367,1,Female,20,No,No,No,0
368,1,Female,52,No,Yes,Yes,3
369,1,Male,19,No,Yes,Yes,2
370,1,Male,63,No,No,No,1
371,1,Male,39,No,No,Yes,0
372,1,Male,65,Yes,No,No,2
373,1,Male,63,No,No,No,2
374,1,Female,62,No,No,Yes,4
375,1,Female,71,No,No,No,2
376,1,Female,33,Yes,No,Yes,4
377,1,Male,39,No,Yes,No,4
378,1,Male,47,Yes,No,Yes,2
379,1,Female,56,No,Yes,No,1
380,1,Female,61,Yes,Yes,No,4
381,1,Female,69,No,No,No,3
382,1,Male,74,No,Yes,Yes,1
383,1,Female,29,Yes,Yes,No,0
384,1,Male,67,No,No,Yes,0
385,1,Male,69,Yes,Yes,No,1
386,1,Male,19,Yes,No,Yes,4
387,1,Male,50,No,No,Yes,3
388,1,Female,33,No,No,Yes,2
389,1,Male,73,No,Yes,No,1
390,1,Male,18,Yes,No,Yes,4
391,1,Female,35,No,Yes,Yes,3
392,1,Male,33,No,Yes,Yes,1
393,1,Female,68,No,No,Yes,4
394,1,Female,45,No,No,Yes,1
395,1,Male,53,No,Yes,Yes,4
396,1,Male,70,No,No,No,0
397,1,Male,45,No,No,No,0
398,1,Female,54,No,No,No,1
399,1,Female,58,No,Yes,No,0
400,1,Male,60,No,No,Yes,2
401,1,Male,58,No,No,No,0
402,1,Male,74,No,No,Yes,0
403,1,Female,75,No,No,Yes,3
404,1,Female,44,No,No,Yes,2
405,1,Male,77,No,No,Yes,1
406,1,Male,22,Yes,No,Yes,4
407,1,Female,41,Yes,No,No,0
408,1,Male,44,No,Yes,Yes,0
409,1,Male,26,Yes,No,No,0
410,1,Male,25,No,No,No,2
411,1,Female,35,No,Yes,No,0
412,1,Male,75,No,No,Yes,2
413,1,Male,31,Yes,Yes,Yes,4
414,1,Female,20,Yes,No,Yes,1
415,1,Female,30,Yes,No,No,1
416,1,Male,18,No,No,Yes,1
417,1,Female,47,No,Yes,No,4
418,1,Female,26,No,No,Yes,2
419,1,Male,36,Yes,No,No,3
420,1,Male,53,Yes,Yes,Yes,4
421,1,Female,57,No,No,Yes,4
422,1,Male,54,No,No,No,2
423,1,Male,19,No,Yes,Yes,0
424,1,Male,66,No,No,No,3
425,1,Male,60,Yes,Yes,Yes,2
426,1,Female,75,No,Yes,Yes,4
427,1,Female,64,No,No,No,3
428,1,Female,76,No,No,Yes,4
429,1,Female,57,Yes,Yes,Yes,2
430,1,Female,33,No,Yes,Yes,3
431,1,Male,63,No,Yes,No,3
432,1,Female,74,No,Yes,No,1
433,1,Male,41,No,Yes,Yes,0
434,1,Male,55,No,No,Yes,2
435,1,Male,49,No,No,Yes,2
436,1,Male,53,No,No,No,1
437,1,Male,21,Yes,No,Yes,2
438,1,Female,42,Yes,No,No,4
439,1,Female,28,No,No,No,2
440,1,Male,48,No,Yes,No,3
441,1,Female,77,No,Yes,Yes,1
442,1,Female,32,No,Yes,No,4
443,1,Male,38,Yes,No,No,4
444,1,Female,34,No,No,Yes,4
445,1,Male,75,No,Yes,No,3
446,1,Male,42,No,Yes,No,4
447,1,Male,41,No,No,Yes,2
448,1,Male,27,No,No,Yes,2
