CustomerID,Count,Quarter,Satisfaction Score,Satisfaction Score Label,Customer Status,Churn Label,Churn Value,Churn Score,Churn Score Category,CLTV,CLTV Category,Churn Category,Churn Reason
1,1,Q3,3,Neutral,Joined,Yes,0,28,1-10,4942,2000-2500,Attitude,Competitor offered higher download speeds
2,1,Q3,5,Satisfied,Joined,No,0,95,11-20,2061,2500-3000,Attitude,Service dissatisfaction
3,1,Q3,4,Neutral,Stayed,No,0,75,21-30,2257,3000-3500,Attitude,Competitor offered more data
4,1,Q3,1,Very Satisfied,Joined,Yes,0,25,31-40,3853,3500-4000,Competitor,Competitor offered higher download speeds
5,1,Q3,1,Very Satisfied,Joined,Yes,0,22,41-50,2560,4000-4500,Other,Attitude of support person
6,1,Q3,1,Very Satisfied,Stayed,No,0,84,51-60,4770,4500-5000,Price,Competitor made better offer
7,1,Q3,3,Very Unsatisfied,Churned,No,1,60,61-70,2026,5000-5500,Attitude,Price too high
8,1,Q3,1,Neutral,Joined,Yes,0,66,71-80,6807,5500-6000,Other,Competitor made better offer
9,1,Q3,4,Very Unsatisfied,Joined,No,1,70,81-90,3847,6000-6500,Other,Moved
10,1,Q3,5,Very Unsatisfied,Stayed,No,0,89,91-100,3804,6500-7000,Other,Price too high
11,1,Q3,5,Satisfied,Churned,No,1,44,1-10,4968,2000-2500,Competitor,Competitor offered more data
12,1,Q3,4,Very Unsatisfied,Joined,No,1,76,11-20,3391,2500-3000,Competitor,Competitor had better devices
13,1,Q3,4,Very Satisfied,Stayed,Yes,1,34,21-30,5570,3000-3500,Price,Moved
14,1,Q3,5,Very Satisfied,Joined,No,1,76,31-40,2141,3500-4000,Competitor,Moved
15,1,Q3,4,Unsatisfied,Churned,No,0,68,41-50,6411,4000-4500,Dissatisfaction,Don't know
16,1,Q3,4,Unsatisfied,Stayed,No,0,86,51-60,2353,4500-5000,Price,Competitor made better offer
17,1,Q3,4,Very Satisfied,Churned,Yes,0,4,61-70,4290,5000-5500,Attitude,Price too high
18,1,Q3,1,Satisfied,Joined,Yes,1,4,71-80,4044,5500-6000,Dissatisfaction,Competitor had better devices
19,1,Q3,3,Very Unsatisfied,Churned,Yes,1,8,81-90,5902,6000-6500,Price,Service dissatisfaction
20,1,Q3,2,Very Unsatisfied,Joined,Yes,0,88,91-100,2252,6500-7000,Attitude,Moved
21,1,Q3,3,Very Satisfied,Stayed,Yes,0,63,1-10,2860,2000-2500,Attitude,Competitor had better devices
22,1,Q3,1,Very Satisfied,Joined,Yes,1,14,11-20,3319,2500-3000,Attitude,Competitor offered higher download speeds
23,1,Q3,1,Unsatisfied,Churned,No,0,17,21-30,4595,3000-3500,Attitude,Competitor had better devices
24,1,Q3,5,Very Unsatisfied,Stayed,No,0,41,31-40,2600,3500-4000,Other,Competitor offered more data
25,1,Q3,5,Very Unsatisfied,Joined,No,0,76,41-50,4063,4000-4500,Price,Price too high
26,1,Q3,3,Satisfied,Joined,No,0,13,51-60,3701,4500-5000,Attitude,Service dissatisfaction
27,1,Q3,1,Very Satisfied,Stayed,Yes,1,86,61-70,4700,5000-5500,Price,Competitor offered more data
28,1,Q3,3,Very Satisfied,Joined,No,0,27,71-80,2963,5500-6000,Competitor,Service dissatisfaction
29,1,Q3,5,Satisfied,Joined,No,1,95,81-90,2457,6000-6500,Price,Moved
30,1,Q3,2,Very Unsatisfied,Joined,No,0,13,91-100,4883,6500-7000,Attitude,Moved
31,1,Q3,2,Very Satisfied,Churned,Yes,0,1,1-10,6968,2000-2500,Price,Don't know
32,1,Q3,3,Very Satisfied,Stayed,Yes,0,76,11-20,5435,2500-3000,Attitude,Competitor offered more data
